Id,Sales_Price__c,Sales_Transport__c,Sales_Tonnage_charge_thereafter__c
802Sj000004POGBIA4,9.17525,,
802Sj000004Po2ZIAS,638.5974,,
802Sj000004Po2aIAC,47.187,,
802Sj000004yAtRIAU,44.041199999999996,,44.041199999999996
802Sj000005XKQ9IAO,256.907,,
802Sj000005gGdOIAU,27.2636,,27.2636
802Sj000006h96mIAA,188.748,,
802Sj000006h96nIAA,77.5964,,
802Sj000006r8tdIAA,309.337,,
802Sj000007N2ZlIAK,414.19699999999995,,
802Sj000007N2ZmIAK,52.43,,
802Sj000008E6YoIAK,752.64,,
802Sj000008zd1RIAQ,288.365,,36.701
802Sj000009NlaYIAS,16.7776,,
802Sj000009NlaZIAS,15.2047,,
802Sj000009NlaaIAC,15.729000000000001,,
802Sj000009NlabIAC,60.8188,,
802Sj000009NlacIAC,15.729000000000001,,
802Sj000009crarIAA,47.04,,
802Sj000009cthRIAQ,47.04,,
802Sj000009ctJGIAY,47.04,,
802Sj000009ctuLIAQ,47.04,,
802Sj000009ctUZIAY,47.04,,
802Sj000009cfrOIAQ,47.04,,
802Sj000009jVc1IAE,24.5,,24.5
802Sj000009o4hZIAQ,11.76,,
802Sj000009o4haIAA,7.84,,
802Sj000009uRYGIA2,0.0,167.57999999999998,
802Sj000009uRYHIA2,168.56,,18.62
802Sj000009uRYIIA2,168.56,,171.5
802Sj000009uRYJIA2,107.8,,147.0
802Sj00000AaiBGIAZ,139.16,,
802Sj00000AaiBHIAZ,175.42,,
802Sj00000AvvwiIAB,372.4,,
802Sj00000AvzPDIAZ,235.2,,
802Sj00000AvzPEIAZ,427.18199999999996,,
802Sj00000BJ7kDIAT,59.78,,59.78
802Sj00000C8rBWIAZ,5.88,,
802Sj00000C8rppIAB,153.85999999999999,,
802Sj00000D8DwfIAF,134.75,,135.24
802Sj00000DHid4IAD,746.956,,149.3912
802Sj00000DHid5IAD,151.9,,
802Sj00000EDEgOIAX,674.24,,674.24
802Sj00000EDEgPIAX,61.74,,
802Sj00000EkIBZIA3,238.14,,
802Sj00000Er6s2IAB,25.48,,25.48
802Sj00000EuaTlIAJ,9.8,,
802Sj00000EuaTmIAJ,7.84,,
802Sj00000EuaTnIAJ,11.76,,255.3488
802Sj00000EuaToIAJ,9.8,,190.9138
802Sj00000EuaTpIAJ,75.46,,
802Sj00000EuaTqIAJ,181.29999999999998,,
802Sj00000EyId8IAF,202.85999999999999,,202.85999999999999
802Sj00000F0KpKIAV,193.3932,,
802Sj00000F04CkIAJ,7.84,,
802Sj00000F04ClIAJ,181.29999999999998,,
802Sj00000F04CmIAJ,9.8,,107.8
802Sj00000F04CnIAJ,10.29,,245.0
802Sj00000F04CoIAJ,7.84,,225.4
802Sj00000F04CpIAJ,0.0,,
802Sj00000F04CqIAJ,0.0,,
802Sj00000FHH8iIAH,202.85999999999999,,202.85999999999999
802Sj00000FpW6rIAF,16.66,,16.66
802Sj00000FsXj7IAF,766.36,,153.2818
802Sj00000FsXj8IAF,153.85999999999999,,
8024H00000R9ic2QAB,215.03115899999997,,
8024H00000R9ic3QAB,299.228496,,
8024H00000R9icBQAR,156.34626,,
8024H00000R9icCQAR,244.2965364,,
8024H00000R9icDQAR,239.164688,,
8024H00000R9icEQAR,309.80887,,
8024H00000R9icFQAR,319.30918599999995,,145.60859599999998
8024H00000R9icGQAR,187.17510000000001,,
8024H00000R9icQQAR,155.30028149999998,,
8024H00000R9icRQAR,155.30028149999998,,
8024H00000R9icSQAR,169.6356921,,191.138808
8024H00000R9icTQAR,252.911834,,
8024H00000R9icUQAR,0.0,150.862082,
8024H00000R9icVQAR,59.728256,,
8024H00000R9icWQAR,102.7628,,
8024H00000R9icXQAR,270.779978,,
8024H00000R9iceQAB,104.818056,,
8024H00000R9icfQAB,155.30028149999998,,
8024H00000R9icgQAB,155.30028149999998,,
8024H00000R9ichQAB,0.0,164.504368,
8024H00000R9iciQAB,76.0235,,
8024H00000R9icjQAB,219.10497,,
8024H00000RxY2JQAV,173.029486,,194.65161799999998
8024H00000RxY2KQAV,164.05347,,
8024H00000Ry3EKQAZ,1193.1304,,
8024H00000Ry3ELQAZ,130.17340000000002,,
8024H00000Ry3EMQAZ,266.07,,
8024H00000Ry3ENQAZ,66.885,,
