Id,OrderItemNumber,Sales_Price__c,Sales_Transport__c,Sales_Tonnage_charge_thereafter__c
8028e000001qYsTAAU,0000049314,,,166.0
8028e000001rck3AAA,0000049340,134.6916,,
8028e000002inv9AAA,0000050726,68.25,,
8028e000002invAAAQ,0000050727,53.55,,
8028e000002yTHeAAM,0000051034,788.26,,158.51
8028e000002yTHfAAM,0000051035,155.4,,
8028e000004O26BAAS,0000053285,590.0,,195.0
8028e000004cKjoAAE,0000053467,594.88,,149.76
8028e000004dedjAAA,0000053540,510.0,,
8028e000004fCmxAAE,0000053588,,130.968,
8028e000005A3NnAAK,0000054030,,100.0,
8028e000005LCB7AAO,0000054454,,144.0,
8028e000005dUwvAAE,0000054815,730.0,,
8028e000005ejzUAAQ,0000054852,26.75,,
8028e000005ejzVAAQ,0000054853,651.63,,
8028e000005ejzWAAQ,0000054854,48.15,,
8028e000006C8ifAAC,0000055491,1412.0,,200.0
8028e000006C8igAAC,0000055492,89.0,,
8028e0000070UYaAAM,0000056553,32.13,,32.13
8028e000007Hg8EAAS,0000057044,206.0,,
8028e000007Hg8FAAS,0000057045,65.0,,
8028e000007Hg8GAAS,0000057046,500.0,,
8028e000007RzlJAAS,0000057103,192.78,,192.78
8028e000008BLT2AAO,0000057960,24.0108,,24.0108
8028e000000BwiGAAS,0000058638,174.42,,174.42
8028e000009AWE2AAO,0000058976,40.8,,40.8
8028e000009Z4USAA0,0000059267,40.0,,
8028e000009Z4UTAA0,0000059268,42.0,,
8028e000009Z4UUAA0,0000059269,71.0,,
8028e000009Z4UVAA0,0000059270,379.0,,379.0
802Sj000000FVTJIA4,0000060255,240.0,,
802Sj000000FVY9IAO,0000060258,556.0,,
802Sj000000GIPGIA4,0000060289,128.0,,128.0
802Sj000000HbKvIAK,0000060298,320.0,,
802Sj000000NshFIAS,0000060632,15.0,,15.0
802Sj000000NshGIAS,0000060633,15.3,,15.3
802Sj000000NshHIAS,0000060634,190.0,,190.0
802Sj000000NshIIAS,0000060635,22.0,,22.0
802Sj0000011tjRIAQ,0000062817,207.0,,
802Sj0000011tjSIAQ,0000062818,74.0,,
802Sj000001bmGRIAY,0000063829,40.0,,80.0
802Sj000001vxAwIAI,0000064322,818.55,,165.85
802Sj000001vxAxIAI,0000064323,155.0,,
802Sj000002GFoNIAW,0000064840,86.0,,86.0
802Sj000002GFoOIAW,0000064841,90.0,,
802Sj000002H4cQIAS,0000064859,645.0,,
802Sj000002LK94IAG,0000064934,19.0,,19.0
802Sj000002V8eTIAS,0000065126,203.3,,
802Sj000002W7ExIAK,0000065177,2250.0,,449.98
802Sj000002zMHAIA2,0000065736,283.55,,101.65
802Sj0000031Dj3IAE,0000065774,875.0,,215.0
802Sj0000031Dj4IAE,0000065775,175.0,,
802Sj0000031Dj5IAE,0000065776,45.0,,
802Sj000003HxegIAC,0000066058,1610.0,,230.0
802Sj000003K2jwIAC,0000066104,2926.0,,
802Sj000003sqCnIAI,0000066653,187.25,,
802Sj000003sqCoIAI,0000066654,74.9,,
802Sj000003zSDlIAM,0000066839,476.15,,
802Sj0000041GRsIAM,0000066845,856.0,,1070.0
802Sj000004KvZJIA0,0000067230,481.5,,
802Sj000004KvZKIA0,0000067231,304.95,,
802Sj000004POGAIA4,0000067344,0.0,,219.35
802Sj000004POGBIA4,0000067345,9.3625,,
802Sj000004Po2ZIAS,0000067373,651.63,,
802Sj000004Po2aIAC,0000067374,48.15,,
802Sj000004yAtRIAU,0000068097,44.94,,44.94
802Sj000005XKQ9IAO,0000068864,262.15,,
802Sj000005gGdOIAU,0000069033,27.82,,27.82
802Sj000006h96mIAA,0000071142,192.6,,
802Sj000006h96nIAA,0000071143,79.18,,
802Sj000006r8tdIAA,0000071331,315.65,,
802Sj000007N2ZlIAK,0000072319,422.65,,
802Sj000007N2ZmIAK,0000072320,53.5,,
802Sj000008E6YoIAK,0000073498,768.0,,
802Sj000008zd1RIAQ,0000075557,294.25,,37.45
802Sj000009NlaYIAS,0000076240,17.12,,
802Sj000009NlaZIAS,0000076241,15.515,,
802Sj000009NlaaIAC,0000076242,16.05,,
802Sj000009NlabIAC,0000076243,62.06,,
802Sj000009NlacIAC,0000076244,16.05,,
802Sj000009crarIAA,0000076738,48.0,,
802Sj000009cthRIAQ,0000076739,48.0,,
802Sj000009ctJGIAY,0000076740,48.0,,
802Sj000009ctuLIAQ,0000076741,48.0,,
802Sj000009ctUZIAY,0000076743,48.0,,
802Sj000009cfrOIAQ,0000076744,48.0,,
802Sj000009jVc1IAE,0000076957,25.0,,25.0
802Sj000009o4hZIAQ,0000077094,12.0,,
802Sj000009o4haIAA,0000077095,8.0,,
802Sj000009uRYGIA2,0000077260,,171.0,
802Sj000009uRYHIA2,0000077261,172.0,,19.0
802Sj000009uRYIIA2,0000077262,172.0,,175.0
802Sj000009uRYJIA2,0000077263,110.0,,150.0
802Sj00000AaiBGIAZ,0000078684,142.0,,
802Sj00000AaiBHIAZ,0000078685,179.0,,
802Sj00000AvvwiIAB,0000079154,380.0,,
802Sj00000AvzPDIAZ,0000079155,240.0,,
802Sj00000AvzPEIAZ,0000079156,435.9,,
802Sj00000BJ7kDIAT,0000079661,61.0,,61.0
802Sj00000C8rBWIAZ,0000081347,6.0,,
802Sj00000C8rppIAB,0000081348,157.0,,
